,ilkid,all_star_leag,all_star_firstyear,all_star_lastyear,all_star_gp,all_star_minutes,all_star_total_pts,all_star_dreb,all_star_oreb,all_star_reb,all_star_asts,all_star_stl,all_star_blk,all_star_turnover,all_star_pf,all_star_fga,all_star_fgm,all_star_fta,all_star_tpa,all_star_tpm
0,ABDURSH01 ,N,2001,2001,1,21,9.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,1.0,1.0
1,ABDULKA01 ,N,1969,1988,19,548,264.0,0.0,0.0,142.0,54.0,0.0,0.0,0.0,0.0,212.0,110.0,53.0,0.0,0.0
2,ADAMSAL01 ,N,1975,1975,1,11,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
3,ADAMSMI01 ,N,1991,1991,1,14,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0
4,AGUIRMA01 ,N,1983,1987,3,42,36.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,24.0,13.0,10.0,0.0,0.0
5,AINGEDA01 ,N,1987,1987,1,19,12.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,4.0,2.0,0.0,0.0
6,ALLENRA02 ,N,1999,2003,4,84,60.0,5.0,5.0,10.0,13.0,8.0,2.0,8.0,7.0,58.0,23.0,10.0,27.0,6.0
7,ANDERKE02 ,N,1993,1993,1,16,6.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0
8,ARCHINA01 ,N,1972,1981,6,164,77.0,0.0,0.0,31.0,42.0,0.0,0.0,0.0,0.0,62.0,29.0,25.0,0.0,0.0
9,ARIZIPA01 ,N,1950,1961,10,305,137.0,0.0,0.0,47.0,6.0,0.0,0.0,0.0,0.0,116.0,54.0,36.0,0.0,0.0
10,ARMSTBJ01 ,N,1993,1993,1,22,11.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0
11,ARTESRO01 ,N,2003,2003,1,17,7.0,2.0,1.0,3.0,3.0,1.0,0.0,1.0,2.0,5.0,3.0,2.0,1.0,0.0
12,BAKERVI01 ,N,1994,1997,4,70,35.0,7.0,13.0,24.0,3.0,1.0,0.0,0.0,3.0,31.0,13.0,12.0,0.0,0.0
13,BARKLCH01 ,N,1986,1996,10,308,113.0,0.0,0.0,60.0,16.0,0.0,0.0,0.0,0.0,91.0,45.0,32.0,0.0,0.0
14,BARKSDO01 ,N,1952,1952,1,11,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
15,BARNEDI01 ,N,1967,1967,1,22,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,2.0,0.0,0.0
16,BARNEMA01 ,A,1974,1975,2,34,23.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0,18.0,9.0,5.0,0.0,0.0
17,BARNHLE01 ,N,1951,1952,2,36,16.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,18.0,8.0,2.0,0.0,0.0
18,BARRODA01 ,N,1994,1994,1,11,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
19,BARRYRI01 ,A,1968,1971,4,82,44.0,12.0,5.0,24.0,18.0,0.0,0.0,4.0,7.0,37.0,16.0,14.0,0.0,0.0
20,BARRYRI01 ,N,1965,1977,8,294,128.0,0.0,0.0,29.0,31.0,0.0,0.0,0.0,0.0,111.0,54.0,24.0,0.0,0.0
21,BAYLOEL01 ,N,1958,1969,11,321,218.0,0.0,0.0,99.0,38.0,0.0,0.0,0.0,0.0,164.0,70.0,98.0,0.0,0.0
22,BEARDBU01 ,N,1971,1971,1,7,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0
23,BEARDRA01 ,N,1950,1950,1,0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,0.0,0.0
24,BEASLJO01 ,A,1967,1969,3,71,39.0,12.0,6.0,26.0,2.0,0.0,0.0,2.0,15.0,28.0,17.0,4.0,1.0,1.0
25,BEATTZE01 ,N,1965,1967,2,54,16.0,0.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,22.0,2.0,15.0,0.0,0.0
26,BEATYZE01 ,A,1970,1972,3,69,33.0,14.0,5.0,19.0,4.0,1.0,2.0,9.0,9.0,28.0,15.0,4.0,0.0,0.0
27,BECKBY01  ,A,1968,1975,2,47,28.0,7.0,3.0,14.0,1.0,0.0,0.0,1.0,6.0,24.0,13.0,2.0,0.0,0.0
28,BECKEAR01 ,A,1967,1971,2,28,11.0,2.0,3.0,5.0,1.0,0.0,0.0,3.0,1.0,15.0,5.0,1.0,0.0,0.0
29,BELLAWA01 ,N,1961,1964,4,83,48.0,0.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,38.0,19.0,19.0,0.0,0.0
30,BINGDA01  ,N,1967,1975,7,125,41.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,43.0,16.0,9.0,0.0,0.0
31,BIRDLA01  ,N,1979,1991,12,475,117.0,0.0,0.0,71.0,39.0,0.0,0.0,0.0,0.0,116.0,46.0,24.0,0.0,0.0
32,BIRDSOT01 ,N,1978,1983,5,64,15.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,19.0,6.0,6.0,0.0,0.0
33,BLACKRO01 ,N,1984,1989,4,88,71.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,49.0,29.0,16.0,0.0,0.0
34,BLAYLMO01 ,N,1993,1993,1,16,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
35,BLOCKJO01 ,N,1972,1972,1,5,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
36,BOONERO01 ,A,1970,1975,4,67,41.0,4.0,3.0,10.0,9.0,2.0,2.0,3.0,6.0,36.0,18.0,5.0,2.0,1.0
37,BOOZEBO01 ,N,1967,1967,1,19,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
38,BORYLVI01 ,N,1950,1950,1,0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0
39,BRADLBI01 ,N,1972,1972,1,12,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
40,BRANDEL01 ,N,2001,2001,1,19,6.0,5.0,5.0,10.0,1.0,0.0,1.0,2.0,2.0,5.0,3.0,0.0,0.0,0.0
41,BRANDTE01 ,N,1995,1996,2,37,21.0,2.0,1.0,4.0,11.0,2.0,0.0,0.0,2.0,21.0,8.0,2.0,4.0,2.0
42,BRAUNCA01 ,N,1952,1956,5,189,30.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,27.0,13.0,4.0,0.0,0.0
43,BRIANFR01 ,N,1950,1951,2,25,27.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,24.0,9.0,11.0,0.0,0.0
44,BRIDGBI01 ,N,1966,1969,3,53,28.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,16.0,13.0,11.0,0.0,0.0
45,BRISKJO01 ,A,1970,1971,2,48,23.0,13.0,9.0,22.0,4.0,0.0,0.0,3.0,4.0,29.0,8.0,10.0,2.0,0.0
46,BROWNFR01 ,N,1975,1975,1,24,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0
47,BROWNLA01 ,A,1967,1969,3,62,25.0,3.0,0.0,6.0,15.0,0.0,0.0,11.0,5.0,18.0,8.0,9.0,3.0,2.0
48,BROWNRO01 ,A,1967,1971,4,108,43.0,9.0,4.0,19.0,9.0,0.0,0.0,9.0,14.0,43.0,15.0,17.0,5.0,0.0
49,BROWNRO02 ,A,1975,1975,1,9,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0
50,BRYANKO01 ,N,1997,2003,6,182,125.0,17.0,10.0,27.0,26.0,14.0,3.0,16.0,17.0,103.0,52.0,16.0,21.0,9.0
51,BUNCELA01 ,A,1967,1967,1,7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
52,BUSEDO01  ,A,1975,1975,1,14,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,1.0
53,BUSEDO01  ,N,1976,1976,1,19,4.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
54,CALDWJO01 ,A,1970,1972,2,55,28.0,10.0,3.0,13.0,5.0,1.0,1.0,8.0,5.0,24.0,13.0,4.0,0.0,0.0
55,CALDWJO01 ,N,1968,1969,2,42,25.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,20.0,11.0,5.0,0.0,0.0
56,CALVIMA01 ,A,1970,1974,5,112,56.0,9.0,4.0,13.0,34.0,3.0,0.0,13.0,16.0,48.0,16.0,29.0,3.0,1.0
57,CARRAU01  ,N,1973,1973,1,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
58,CARRIDA01 ,A,1967,1969,3,57,29.0,4.0,2.0,7.0,6.0,0.0,0.0,5.0,8.0,26.0,8.0,15.0,9.0,1.0
59,CARROJO01 ,N,1986,1986,1,18,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0
60,CARTEGE01 ,A,1970,1970,1,8,4.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0
61,CARTEVI01 ,N,1999,2003,5,192,48.0,5.0,5.0,10.0,8.0,5.0,1.0,8.0,3.0,45.0,22.0,1.0,10.0,3.0
62,CARTWBI01 ,N,1979,1979,1,14,8.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0
63,CASSESA01 ,N,2003,2003,1,13,4.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0
64,CEBALCE01 ,N,1994,1994,1,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,CHAMBTO01 ,N,1986,1990,4,84,77.0,0.0,0.0,16.0,5.0,0.0,0.0,0.0,0.0,56.0,29.0,22.0,0.0,0.0
66,CHAMBWI01 ,N,1959,1972,13,388,191.0,0.0,0.0,197.0,36.0,0.0,0.0,0.0,0.0,122.0,72.0,94.0,0.0,0.0
67,CHAPPLE01 ,N,1963,1963,1,12,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0
68,CHEEKMA01 ,N,1982,1987,4,44,16.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,16.0,7.0,2.0,0.0,0.0
69,CHENIPH01 ,N,1973,1976,3,48,22.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,20.0,10.0,4.0,0.0,0.0
70,CLARKAR01 ,N,1967,1971,2,36,25.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,13.0,7.0,11.0,0.0,0.0
71,CLIFTNA01 ,N,1956,1956,1,23,8.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0
72,COLEMDE01 ,N,1993,1993,1,18,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0
73,COLEMJA01 ,N,1954,1954,1,19,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,0.0,0.0
74,COLLIDO01 ,N,1975,1978,4,167,34.0,0.0,0.0,13.0,17.0,0.0,0.0,0.0,0.0,24.0,11.0,15.0,0.0,0.0
75,COMBSGL01 ,A,1969,1971,3,47,14.0,1.0,0.0,4.0,6.0,0.0,0.0,2.0,4.0,21.0,6.0,2.0,9.0,2.0
76,COSTELA01 ,N,1957,1964,6,170,24.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,32.0,11.0,2.0,0.0,0.0
77,COUSYBO01 ,N,1950,1962,13,368,147.0,0.0,0.0,75.0,86.0,0.0,0.0,0.0,0.0,158.0,52.0,51.0,0.0,0.0
78,COWENDA01 ,N,1971,1977,7,253,76.0,0.0,0.0,81.0,12.0,0.0,0.0,0.0,0.0,66.0,33.0,14.0,0.0,0.0
79,CUMMITE01 ,N,1984,1988,2,35,27.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,26.0,11.0,6.0,0.0,0.0
80,CUNNIBI01 ,A,1972,1972,1,20,18.0,6.0,0.0,6.0,4.0,1.0,0.0,3.0,6.0,12.0,9.0,0.0,1.0,0.0
81,CUNNIBI01 ,N,1968,1971,4,93,48.0,0.0,0.0,23.0,9.0,0.0,0.0,0.0,0.0,44.0,18.0,15.0,0.0,0.0
82,DAMPILO01 ,A,1967,1974,7,175,88.0,11.0,1.0,15.0,15.0,2.0,0.0,9.0,12.0,85.0,39.0,8.0,16.0,3.0
83,DANDRBO01 ,N,1972,1978,4,74,26.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,25.0,12.0,3.0,0.0,0.0
84,DANIEME01 ,A,1967,1973,7,195,132.0,45.0,20.0,77.0,8.0,0.0,3.0,17.0,20.0,111.0,50.0,53.0,0.0,0.0
85,DANTLAD01 ,N,1979,1985,6,130,59.0,0.0,0.0,26.0,7.0,0.0,0.0,0.0,0.0,55.0,20.0,20.0,0.0,0.0
86,DAUGHBR01 ,N,1987,1992,5,76,34.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0.0,29.0,15.0,7.0,0.0,0.0
87,DAVIEBO01 ,N,1950,1953,4,75,48.0,0.0,0.0,13.0,17.0,0.0,0.0,0.0,0.0,40.0,19.0,14.0,0.0,0.0
88,DAVISAN01 ,N,2000,2000,1,20,8.0,2.0,7.0,9.0,0.0,1.0,1.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0
89,DAVISBA01 ,N,2001,2003,2,29,9.0,1.0,0.0,1.0,12.0,1.0,0.0,4.0,1.0,13.0,4.0,0.0,8.0,1.0
90,DAVISDA01 ,N,1999,1999,1,14,4.0,5.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
91,DAVISLE01 ,A,1969,1969,1,9,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0
92,DAVISWA02 ,A,1968,1968,1,20,6.0,4.0,3.0,7.0,2.0,0.0,0.0,3.0,2.0,8.0,3.0,0.0,0.0,0.0
93,DAVISWA03 ,N,1977,1977,1,15,10.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,0.0,0.0
94,DAVISWA04 ,N,1978,1978,1,19,8.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0
95,DAVISWA05 ,N,1979,1979,1,23,12.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,0.0,0.0
96,DAVISWA06 ,N,1980,1980,1,22,12.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,2.0,0.0,0.0
97,DAVISWA07 ,N,1981,1981,1,22,12.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,2.0,0.0,0.0
98,DAVISWA08 ,N,1983,1983,1,15,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0
99,DAVISWA09 ,N,1986,1986,1,15,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0
100,DEBUSDA01 ,N,1965,1973,8,167,77.0,0.0,0.0,51.0,11.0,0.0,0.0,0.0,0.0,81.0,37.0,4.0,0.0,0.0
101,DISCHTE01 ,N,1962,1964,3,44,19.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,15.0,7.0,6.0,0.0,0.0
102,DIVACVL01 ,N,2000,2000,1,9,8.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,6.0,4.0,0.0,1.0,0.0
103,DONALJA01 ,N,1987,1987,1,8,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
104,DREWJO01  ,N,1975,1979,2,24,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,0.0,0.0
105,DREXLCL01 ,N,1985,1996,10,265,96.0,0.0,0.0,44.0,23.0,0.0,0.0,0.0,0.0,79.0,40.0,12.0,0.0,0.0
106,DUCKWKE01 ,N,1988,1990,2,26,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0
107,DUKESWA01 ,N,1959,1960,2,43,12.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,16.0,5.0,3.0,0.0,0.0
108,DUMARJO01 ,N,1989,1996,6,98,34.0,1.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,35.0,14.0,2.0,4.0,1.0
109,DUNCATI01 ,N,1997,2003,6,170,87.0,59.0,22.0,81.0,17.0,5.0,4.0,14.0,9.0,69.0,39.0,11.0,1.0,0.0
110,EAKINJI01 ,A,1973,1973,1,21,2.0,4.0,0.0,4.0,4.0,2.0,3.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0
111,EATONMA01 ,N,1988,1988,1,9,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,EDDLETH01 ,N,1950,1951,2,26,9.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,12.0,3.0,5.0,0.0,0.0
113,ELLIOSE01 ,N,1992,1995,2,37,18.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,18.0,6.0,5.0,0.0,0.0
114,ELLISDA01 ,N,1988,1988,1,26,27.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,16.0,12.0,2.0,0.0,0.0
115,EMBRYWA01 ,N,1960,1964,5,163,32.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,34.0,15.0,2.0,0.0,0.0
116,ENGLIAL01 ,N,1982,1988,7,136,69.0,0.0,0.0,13.0,14.0,0.0,0.0,0.0,0.0,66.0,34.0,2.0,0.0,0.0
117,ERVINJU01 ,A,1971,1975,5,134,100.0,18.0,11.0,36.0,24.0,2.0,5.0,8.0,16.0,70.0,38.0,29.0,2.0,1.0
118,ERVINJU01 ,N,1976,1986,11,315,223.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,177.0,84.0,56.0,0.0,0.0
119,EWINGPA01 ,N,1985,1996,11,388,106.0,0.0,0.0,60.0,7.0,0.0,0.0,0.0,0.0,82.0,44.0,26.0,0.0,0.0
120,FELIXRA01 ,N,1953,1953,1,32,13.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,5.0,0.0,0.0
121,FINLEMI01 ,N,1999,2000,2,29,23.0,2.0,2.0,4.0,5.0,0.0,0.0,2.0,0.0,21.0,10.0,2.0,4.0,1.0
122,FLOYDER01 ,N,1986,1986,1,19,14.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,7.0,0.0,0.0
123,FOSTEJA01 ,A,1975,1975,1,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
124,FOUSTLA01 ,N,1950,1958,8,217,49.0,0.0,0.0,49.0,3.0,0.0,0.0,0.0,0.0,54.0,17.0,16.0,0.0,0.0
125,FRANCST01 ,N,2001,2003,3,73,36.0,5.0,3.0,8.0,16.0,2.0,0.0,6.0,3.0,29.0,16.0,2.0,6.0,3.0
126,FRAZIWA01 ,N,1969,1975,7,183,88.0,0.0,0.0,27.0,26.0,0.0,0.0,0.0,0.0,78.0,35.0,21.0,0.0,0.0
127,FREEMDO01 ,A,1967,1971,5,123,81.0,13.0,9.0,26.0,19.0,0.0,0.0,13.0,15.0,62.0,28.0,32.0,0.0,0.0
128,FREEWO01  ,N,1979,1979,1,21,14.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,13.0,7.0,1.0,0.0,0.0
129,FULKSJO01 ,N,1950,1951,2,9,25.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,22.0,9.0,10.0,0.0,0.0
130,GABORBI01 ,N,1952,1952,1,25,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
131,GALLAHA01 ,N,1950,1956,7,159,57.0,0.0,0.0,65.0,16.0,0.0,0.0,0.0,0.0,41.0,19.0,27.0,0.0,0.0
132,GARMADI01 ,N,1956,1959,4,73,31.0,0.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,36.0,13.0,6.0,0.0,0.0
133,GARNEKE01 ,N,1996,2003,7,195,119.0,39.0,16.0,55.0,23.0,13.0,8.0,10.0,7.0,102.0,54.0,11.0,4.0,0.0
134,GATLICH01 ,N,1996,1996,1,12,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0
135,GEORGJA01 ,N,1955,1956,2,42,14.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,13.0,5.0,4.0,0.0,0.0
136,GERARGU01 ,A,1975,1975,1,17,12.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,5.0,14.0,5.0,2.0,0.0,0.0
137,GERVIGE01 ,A,1973,1975,3,67,40.0,8.0,3.0,17.0,7.0,6.0,5.0,4.0,4.0,37.0,14.0,14.0,4.0,1.0
138,GERVIGE01 ,N,1976,1984,9,212,136.0,0.0,0.0,30.0,11.0,0.0,0.0,0.0,0.0,103.0,54.0,36.0,0.0,0.0
139,GILMOAR01 ,A,1971,1975,5,140,67.0,38.0,14.0,59.0,6.0,2.0,7.0,15.0,23.0,40.0,24.0,34.0,0.0,0.0
140,GILMOAR01 ,N,1977,1985,6,101,55.0,0.0,0.0,22.0,8.0,0.0,0.0,0.0,0.0,30.0,20.0,20.0,0.0,0.0
141,GOLATO01  ,N,1959,1963,5,169,29.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,29.0,12.0,9.0,0.0,0.0
142,GOODRGA01 ,N,1968,1974,5,77,33.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,38.0,16.0,2.0,0.0,0.0
143,GOVANGE01 ,A,1969,1969,1,11,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
