,ilkid,all_star_leag,all_star_firstyear,all_star_lastyear,all_star_gp,all_star_minutes,all_star_total_pts,all_star_dreb,all_star_oreb,all_star_reb,all_star_asts,all_star_stl,all_star_blk,all_star_turnover,all_star_pf,all_star_fga,all_star_fgm,all_star_fta,all_star_tpa,all_star_tpm
291,NATERSW01 ,A,1973,1974,2,54,41.0,12.0,15.0,27.0,1.0,0.0,2.0,4.0,5.0,37.0,18.0,6.0,0.0,0.0
292,NATTCA01  ,N,1984,1984,1,11,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
293,NAULLWI01 ,N,1957,1961,4,78,40.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,50.0,17.0,8.0,0.0,0.0
294,NETOLBO01 ,A,1967,1970,4,100,46.0,21.0,6.0,35.0,5.0,0.0,0.0,3.0,7.0,39.0,19.0,15.0,0.0,0.0
295,NIXONNO01 ,N,1984,1984,1,19,11.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0
296,NOBLECH01 ,N,1959,1959,1,11,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
297,NOWITDI01 ,N,2001,2003,3,53,23.0,7.0,2.0,9.0,5.0,2.0,0.0,6.0,2.0,22.0,10.0,1.0,9.0,2.0
298,ONEAJE01  ,N,2001,2003,3,78,33.0,20.0,6.0,26.0,2.0,3.0,4.0,5.0,3.0,28.0,12.0,14.0,0.0,0.0
299,ONEASH01  ,N,1992,2002,10,471,122.0,17.0,9.0,60.0,7.0,2.0,4.0,9.0,7.0,97.0,49.0,49.0,0.0,0.0
300,ONEASH11  ,N,2003,2003,1,24,24.0,6.0,5.0,11.0,1.0,2.0,2.0,4.0,3.0,19.0,12.0,1.0,0.0,0.0
301,OAKLECH01 ,N,1993,1993,1,11,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
302,OHLDO01   ,N,1962,1966,5,87,46.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,43.0,16.0,15.0,0.0,0.0
303,OLAJUHA01 ,N,1984,1996,12,278,117.0,3.0,0.0,94.0,17.0,0.0,1.0,1.0,1.0,110.0,45.0,49.0,0.0,0.0
304,PARISRO01 ,N,1980,1990,9,147,81.0,0.0,0.0,56.0,9.0,0.0,0.0,0.0,0.0,74.0,32.0,23.0,0.0,0.0
305,PAULTBI01 ,A,1972,1975,3,53,17.0,6.0,3.0,11.0,8.0,1.0,3.0,2.0,5.0,16.0,7.0,3.0,0.0,0.0
306,PAXSOJI01 ,N,1982,1983,2,31,21.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,16.0,10.0,2.0,0.0,0.0
307,PAYTOGA01 ,N,1993,2002,9,187,85.0,9.0,5.0,30.0,73.0,11.0,0.0,17.0,9.0,78.0,34.0,11.0,19.0,6.0
308,PETRIGE01 ,N,1970,1973,2,31,8.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,14.0,3.0,2.0,0.0,0.0
309,PETTIBO01 ,N,1954,1964,11,360,224.0,0.0,0.0,178.0,23.0,0.0,0.0,0.0,0.0,193.0,81.0,80.0,0.0,0.0
310,PHILLAN01 ,N,1950,1954,5,113,34.0,0.0,0.0,25.0,31.0,0.0,0.0,0.0,0.0,31.0,15.0,5.0,0.0,0.0
311,PIERCPA01 ,N,2001,2003,3,54,35.0,7.0,3.0,10.0,8.0,6.0,0.0,3.0,4.0,37.0,17.0,0.0,12.0,1.0
312,PIERCRI01 ,N,1990,1990,1,19,9.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,0.0,0.0
313,PIPPESC01 ,N,1989,1996,7,173,85.0,3.0,0.0,39.0,17.0,0.0,0.0,2.0,0.0,77.0,34.0,16.0,3.0,0.0
314,POLLAJI01 ,N,1950,1954,4,97,48.0,0.0,0.0,22.0,13.0,0.0,0.0,0.0,0.0,69.0,21.0,8.0,0.0,0.0
315,PORTETE01 ,N,1990,1992,2,34,11.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0
316,POWELCI01 ,A,1969,1970,2,47,23.0,7.0,3.0,17.0,0.0,0.0,0.0,2.0,3.0,15.0,9.0,5.0,0.0,0.0
317,PRICEJI01 ,N,1974,1974,1,17,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,0.0,0.0
318,PRICEMA01 ,N,1988,1993,4,80,54.0,0.0,0.0,6.0,13.0,0.0,0.0,0.0,0.0,35.0,18.0,10.0,0.0,0.0
319,RATLITH01 ,N,2000,2000,1,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,REDDMI01  ,N,2003,2003,1,15,13.0,1.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,12.0,5.0,0.0,6.0,3.0
321,REEDWI01  ,N,1964,1970,7,161,88.0,0.0,0.0,58.0,7.0,0.0,0.0,0.0,0.0,84.0,38.0,16.0,0.0,0.0
322,REGANRI01 ,N,1956,1956,1,21,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0
323,RICEGL01  ,N,1995,1997,3,56,49.0,0.0,2.0,3.0,3.0,2.0,0.0,2.0,2.0,43.0,17.0,6.0,13.0,8.0
324,RICHAMI01 ,N,1979,1984,4,74,33.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,29.0,15.0,6.0,0.0,0.0
325,RICHMMI01 ,N,1992,1997,6,209,57.0,3.0,1.0,12.0,13.0,0.0,0.0,1.0,1.0,57.0,25.0,2.0,6.0,3.0
326,RISENAR01 ,N,1951,1954,4,157,19.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,24.0,9.0,5.0,0.0,0.0
327,RIVERDO01 ,N,1987,1987,1,16,9.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,11.0,0.0,0.0
328,ROBBIRE01 ,A,1967,1970,3,53,27.0,5.0,6.0,11.0,2.0,0.0,0.0,3.0,5.0,25.0,12.0,4.0,0.0,0.0
329,ROBERAL01 ,N,1985,1990,4,60,18.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,18.0,7.0,4.0,0.0,0.0
330,ROBEROS01 ,N,1960,1971,12,380,236.0,0.0,0.0,69.0,81.0,0.0,0.0,0.0,0.0,172.0,88.0,98.0,0.0,0.0
331,ROBINCL02 ,N,1993,1993,1,18,10.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0
332,ROBINDA01 ,N,1989,2000,10,184,141.0,7.0,5.0,62.0,8.0,2.0,2.0,4.0,5.0,85.0,50.0,59.0,0.0,0.0
333,ROBINFL01 ,N,1969,1969,1,8,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
334,ROBINGL01 ,N,1999,2000,2,35,18.0,7.0,3.0,10.0,1.0,1.0,1.0,0.0,0.0,17.0,9.0,0.0,0.0,0.0
335,ROBINTR01 ,N,1980,1981,2,42,12.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0
336,ROBINTR01 ,N,1977,1977,1,24,7.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,0.0
337,ROCHARE01 ,N,1950,1951,2,28,20.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,21.0,7.0,6.0,0.0,0.0
338,RODGEGU01 ,N,1962,1966,4,101,22.0,0.0,0.0,13.0,25.0,0.0,0.0,0.0,0.0,27.0,10.0,3.0,0.0,0.0
339,RODMADE01 ,N,1989,1991,2,36,8.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0
340,ROUNDDA01 ,N,1979,1981,3,225,18.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,9.0,0.0,0.0
341,ROWECU01  ,N,1975,1975,1,8,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
342,RULEBO01  ,N,1969,1969,1,13,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0
343,RUSSEBI01 ,N,1957,1968,12,343,120.0,0.0,0.0,139.0,39.0,0.0,0.0,0.0,0.0,111.0,51.0,34.0,0.0,0.0
344,RUSSECA01 ,N,1971,1971,1,20,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,2.0,0.0,0.0
345,RUSSECA02 ,N,1978,1978,1,13,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0
346,RUTLAJE01 ,N,1983,1983,1,13,6.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0
347,SAMPSRA01 ,N,1983,1986,4,165,49.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,33.0,21.0,10.0,0.0,0.0
348,SAULDWO01 ,N,1958,1958,1,18,14.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,11.0,5.0,4.0,0.0,0.0
349,SCHAUFR01 ,N,1950,1950,1,0,8.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0,0.0,0.0
350,SCHAYDO01 ,N,1950,1961,12,347,138.0,0.0,0.0,105.0,17.0,0.0,0.0,0.0,0.0,106.0,48.0,50.0,0.0,0.0
351,SCHREDE01 ,N,1992,1996,3,51,23.0,3.0,1.0,11.0,7.0,0.0,1.0,1.0,3.0,22.0,10.0,3.0,3.0,1.0
352,SCOLAFR01 ,N,1951,1952,2,114,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0
353,SCOTTCH01 ,A,1970,1971,2,44,27.0,4.0,2.0,6.0,6.0,0.0,0.0,11.0,6.0,27.0,11.0,9.0,1.0,0.0
354,SCOTTCH01 ,N,1972,1974,3,49,4.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,15.0,1.0,2.0,0.0,0.0
355,SEARSKE01 ,N,1957,1958,2,50,27.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,17.0,9.0,10.0,0.0,0.0
356,SELVYFR01 ,N,1954,1961,2,30,7.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,0.0,0.0
357,SEYMOPA01 ,N,1952,1954,3,49,21.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,17.0,7.0,8.0,0.0,0.0
358,SHAFFLE01 ,N,1962,1962,1,19,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0
359,SHARMBI01 ,N,1952,1959,8,196,102.0,0.0,0.0,35.0,17.0,0.0,0.0,0.0,0.0,104.0,40.0,26.0,0.0,0.0
360,SHUEGE01  ,N,1957,1961,5,130,66.0,0.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,51.0,29.0,12.0,0.0,0.0
361,SIKMAJA01 ,N,1978,1984,7,147,51.0,0.0,0.0,37.0,14.0,0.0,0.0,0.0,0.0,45.0,21.0,10.0,0.0,0.0
362,SILASJA01 ,A,1974,1975,2,46,41.0,2.0,1.0,3.0,10.0,2.0,0.0,2.0,11.0,17.0,11.0,19.0,0.0,0.0
363,SILASPA01 ,N,1971,1974,2,30,8.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,10.0,2.0,5.0,0.0,0.0
364,SIMONWA01 ,A,1968,1968,1,21,18.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,3.0,11.0,8.0,3.0,0.0,0.0
365,SIMPSRA01 ,A,1971,1975,5,118,55.0,4.0,4.0,15.0,7.0,3.0,0.0,11.0,3.0,62.0,25.0,7.0,1.0,0.0
366,SLOANJE01 ,N,1966,1968,2,40,19.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,17.0,6.0,1.0,0.0,0.0
367,SMITHAD01 ,N,1965,1965,1,26,24.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,18.0,9.0,6.0,0.0,0.0
368,SMITHPH01 ,N,1975,1976,2,40,20.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,20.0,9.0,6.0,0.0,0.0
369,SMITHRA01 ,N,1975,1977,2,44,35.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,21.0,15.0,6.0,0.0,0.0
370,SMITHST01 ,N,1997,1997,1,16,14.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,5.0,2.0
371,SMITSRI01 ,N,1997,1997,1,21,10.0,5.0,2.0,7.0,4.0,0.0,2.0,0.0,3.0,7.0,3.0,4.0,0.0,0.0
372,SOMERWI01 ,A,1968,1968,1,17,6.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,7.0,2.0,2.0,0.0,0.0
373,SPREWLA01 ,N,1993,2000,4,77,44.0,2.0,2.0,15.0,10.0,2.0,0.0,2.0,3.0,35.0,17.0,17.0,4.0,1.0
374,STACKJE01 ,N,1999,2000,2,29,15.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,3.0,15.0,7.0,2.0,1.0,1.0
375,STARKJO01 ,N,1993,1993,1,20,9.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0
376,STOCKJO01 ,N,1988,1999,10,197,81.0,0.0,0.0,17.0,71.0,2.0,0.0,1.0,4.0,66.0,35.0,6.0,2.0,2.0
377,STOJAPE01 ,N,2001,2003,3,44,21.0,4.0,2.0,6.0,3.0,1.0,0.0,3.0,0.0,22.0,8.0,0.0,13.0,5.0
378,STOKEMA01 ,N,1955,1957,3,87,39.0,0.0,0.0,42.0,12.0,0.0,0.0,0.0,0.0,43.0,15.0,15.0,0.0,0.0
379,SUNDEDO01 ,N,1953,1953,1,6,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
380,SZCZEWA01 ,N,2001,2001,1,12,10.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,3.0,2.0
381,TARTLE01  ,A,1967,1969,2,40,16.0,1.0,2.0,6.0,4.0,0.0,0.0,4.0,2.0,20.0,5.0,5.0,0.0,0.0
382,TAYLOBR01 ,A,1974,1975,2,50,27.0,1.0,0.0,5.0,11.0,4.0,0.0,1.0,7.0,22.0,12.0,5.0,1.0,0.0
383,TERRYCL01 ,A,1975,1975,1,25,14.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,12.0,5.0,5.0,3.0,1.0
384,THEUSRE01 ,N,1980,1982,3,46,16.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,19.0,8.0,0.0,0.0,0.0
385,THOMAIS01 ,N,1982,1992,10,301,173.0,0.0,0.0,26.0,93.0,0.0,0.0,0.0,0.0,126.0,71.0,31.0,0.0,0.0
386,THOMPDA01 ,A,1975,1975,1,34,29.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,4.0,18.0,9.0,13.0,0.0,0.0
387,THOMPDA01 ,N,1976,1978,3,98,65.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,42.0,28.0,17.0,0.0,0.0
388,THOMPGE01 ,A,1971,1973,3,60,30.0,3.0,0.0,3.0,5.0,0.0,0.0,5.0,3.0,27.0,14.0,2.0,2.0,0.0
389,THOMSDA01 ,N,1982,1982,1,17,10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0
390,THORESK01 ,A,1968,1968,1,17,2.0,5.0,0.0,5.0,2.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0
391,THORPOT01 ,N,1991,1991,1,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
392,THURMNA01 ,N,1964,1973,7,302,31.0,0.0,0.0,44.0,2.0,0.0,0.0,0.0,0.0,43.0,14.0,8.0,0.0,0.0
393,TOMJARU01 ,N,1973,1978,5,89,24.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,32.0,12.0,0.0,0.0,0.0
394,TONEYAN01 ,N,1982,1983,2,40,21.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,16.0,10.0,1.0,0.0,0.0
395,TOWEMO01  ,A,1975,1975,1,11,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
396,TRIPUKE01 ,N,1983,1983,1,6,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
397,TWARDDA01 ,A,1974,1974,1,15,14.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,6.0,4.0,4.0,7.0,0.0,0.0
398,TWYMAJA01 ,N,1956,1962,6,117,89.0,0.0,0.0,21.0,8.0,0.0,0.0,0.0,0.0,68.0,38.0,20.0,0.0,0.0
399,UNSELWE01 ,N,1968,1974,5,77,31.0,0.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0,28.0,14.0,5.0,0.0,0.0
400,VANARDI01 ,N,1968,1970,3,38,16.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,16.0,8.0,1.0,0.0,0.0
401,VANARTO01 ,N,1969,1971,3,23,13.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,16.0,6.0,3.0,0.0,0.0
402,VANDEKI01 ,N,1982,1983,2,40,21.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,17.0,10.0,2.0,0.0,0.0
403,VANEXNI01 ,N,1997,1997,1,20,13.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,14.0,5.0,2.0,6.0,1.0
404,VANLINO01 ,N,1973,1976,3,37,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0
405,VAUGHCH01 ,A,1967,1967,1,4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0
406,VERGABO01 ,A,1969,1969,1,16,14.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,14.0,6.0,2.0,3.0,1.0
407,WALKEAN01 ,N,1997,2002,3,40,18.0,5.0,1.0,6.0,4.0,2.0,0.0,4.0,1.0,20.0,7.0,2.0,10.0,3.0
408,WALKECH01 ,N,1963,1973,7,125,57.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,46.0,20.0,20.0,0.0,0.0
409,WALKEJI01 ,N,1969,1971,2,30,11.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,6.0,0.0,0.0
410,WALLABE01 ,N,2002,2003,2,47,6.0,7.0,6.0,13.0,0.0,5.0,3.0,2.0,1.0,7.0,3.0,2.0,1.0,0.0
411,WALLARA01 ,N,1999,2000,2,42,11.0,5.0,3.0,8.0,2.0,2.0,1.0,2.0,0.0,13.0,4.0,4.0,1.0,0.0
412,WALTHPA01 ,N,1951,1951,1,17,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
413,WALTOBI01 ,N,1976,1977,2,130,15.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,14.0,6.0,3.0,0.0,0.0
414,WANZEBO01 ,N,1951,1955,5,131,46.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,43.0,17.0,14.0,0.0,0.0
415,WARLEBE01 ,A,1967,1967,1,17,8.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,7.0,2.0,4.0,3.0,0.0
416,WASHIKE01 ,N,1979,1979,1,14,4.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,0.0,0.0
417,WASHITR01 ,A,1968,1968,1,15,6.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,0.0,0.0
418,WEBBECH01 ,N,1996,2002,5,175,30.0,13.0,11.0,24.0,13.0,4.0,0.0,8.0,9.0,35.0,13.0,8.0,3.0,1.0
419,WEDMASC01 ,N,1975,1975,1,20,8.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0
420,WESTJE01  ,N,1960,1972,13,440,160.0,0.0,0.0,47.0,55.0,0.0,0.0,0.0,0.0,137.0,62.0,50.0,0.0,0.0
421,WESTPPA01 ,N,1976,1981,6,153,116.0,0.0,0.0,11.0,27.0,0.0,0.0,0.0,0.0,80.0,51.0,19.0,0.0,0.0
422,WHITEJO01 ,N,1970,1975,6,109,54.0,0.0,0.0,26.0,19.0,0.0,0.0,0.0,0.0,53.0,24.0,11.0,0.0,0.0
423,WICKSSI01 ,N,1971,1974,4,81,49.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,40.0,18.0,18.0,0.0,0.0
424,WILKEJA01 ,N,1975,1982,4,79,48.0,0.0,0.0,22.0,10.0,0.0,0.0,0.0,0.0,39.0,19.0,10.0,0.0,0.0
425,WILKELE01 ,N,1962,1972,9,182,85.0,0.0,0.0,22.0,26.0,0.0,0.0,0.0,0.0,75.0,30.0,32.0,0.0,0.0
426,WILKIDO01 ,N,1985,1993,9,258,106.0,0.0,0.0,27.0,15.0,0.0,0.0,0.0,0.0,95.0,38.0,38.0,0.0,0.0
427,WILLIBU01 ,N,1982,1985,2,39,21.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,12.0,8.0,9.0,0.0,0.0
428,WILLICH01 ,A,1968,1969,2,12,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,7.0,1.0,2.0,2.0,0.0
429,WILLICH02 ,A,1972,1975,2,38,12.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,4.0,9.0,4.0,8.0,0.0,0.0
430,WILLIGU01 ,N,1982,1982,1,15,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0
431,WILLIJA01 ,N,1997,1997,1,19,4.0,7.0,3.0,10.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
432,WILLIKE01 ,N,1991,1991,1,14,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0
433,WINTEBR01 ,N,1975,1977,2,30,10.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0
434,WISEWI01  ,A,1971,1973,3,95,49.0,12.0,10.0,22.0,7.0,1.0,1.0,4.0,6.0,40.0,20.0,11.0,0.0,0.0
435,WORTHJA01 ,N,1985,1991,7,142,74.0,0.0,0.0,26.0,9.0,0.0,0.0,0.0,0.0,77.0,34.0,8.0,0.0,0.0
436,YARDLGE01 ,N,1954,1959,6,131,64.0,0.0,0.0,35.0,4.0,0.0,0.0,0.0,0.0,60.0,26.0,17.0,0.0,0.0
437,ZASLOMA01 ,N,1951,1951,1,25,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,5.0,0.0,0.0
438,WHITEJO01 ,N,1976,1976,1,15,10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0
